phase,exp_id,dataset,num_classes,stage1_epochs,stage2_epochs,condition,defense_alpha,defense_tau,defense_burn_in,manual_seed,stage1_test_top1,stage1_topk,mc_best_train_top1,mc_vs_benign_pp,mc_vs_attack_pp,vfl_cost_pp,passed_criterion,n_labeled,notes
Phase 8 Ablation,EXP-015,CIFAR10,10,100,25,active+defense,0.5,0.10,8,0,81.09%,96.38% (k=4),94.57%,+7.34pp,-0.85pp,-0.36pp,No — too weak,40,Barely touches attack; a=0.5 is the undertuned setting
Phase 4 Primary,EXP-011,CIFAR10,10,100,25,active+defense,1.0,0.10,8,0,79.52%,96.50% (k=4),84.27%,-2.96pp,-11.15pp,-1.93pp,Yes ✅,40,Primary setting — conservative middle point
Phase 8 Ablation,EXP-015,CIFAR10,10,100,25,active+defense,2.0,0.10,8,0,79.55%,96.51% (k=4),76.79%,-10.44pp,-18.63pp,-1.90pp,Yes ✅✅,40,Strongest suppression on CIFAR-10
Phase 8 Ablation,EXP-015,CIFAR10,10,100,25,active+defense,1.0,0.05,8,0,78.23%,96.41% (k=4),81.58%,-5.65pp,-13.84pp,-3.22pp,Yes ✅,40,Earlier detection (lower tau) → stronger suppression
Phase 8 Ablation,EXP-015,CIFAR10,10,100,25,active+defense,1.0,0.15,8,0,78.94%,96.82% (k=4),85.98%,-1.25pp,-9.44pp,-2.51pp,Yes ✅ (marginal),40,Later detection (higher tau) → weaker but still below benign
Phase 5 Primary,EXP-012,CIFAR100,100,150,25,active+defense,1.0,0.10,8,0,45.20%,72.87% (k=5),43.12%,+13.56pp,-4.74pp,-0.13pp,No ❌,400,Primary setting FAILS for CIFAR-100 — 13.56pp above benign mean
Phase 6A,EXP-013,CIFAR100,100,150,25,active+defense,2.0,0.10,8,0,45.93%,73.94% (k=5),48.31%,+18.75pp,+0.45pp (ABOVE attack),<0pp,No ❌❌,400,Stronger alpha COUNTERPRODUCTIVE — MC ABOVE undefended attack
Phase 6A,EXP-013,CIFAR100,100,150,25,active+defense,2.0,0.05,8,0,45.47%,73.02% (k=5),43.60%,+14.04pp,-4.26pp,,No ❌,400,Slightly worse than a=1.0; alpha=2.0 pattern inverse of CIFAR-10
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR10,10,30,,active+defense,0.5,0.10,8,0,63.59%,93.59% (k=4),,,,+1.96pp vs benign VFL,N/A (no MC),40,30ep VFL only — no MC run; cannot assess attack suppression
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR10,10,30,,active+defense,1.0,0.10,8,0,60.94%,92.33% (k=4),,,,−0.69pp vs benign VFL,N/A (no MC),40,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR10,10,30,,active+defense,2.0,0.10,8,0,59.69%,91.06% (k=4),,,,−1.94pp vs benign VFL,N/A (no MC),40,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR10,10,30,,active+defense,1.0,0.05,8,0,56.70%,88.36% (k=4),,,,−4.93pp vs benign VFL,N/A (no MC),40,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR10,10,30,,active+defense,1.0,0.15,8,0,60.61%,92.01% (k=4),,,,−1.02pp vs benign VFL,N/A (no MC),40,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR100,100,30,,active+defense,0.5,0.10,8,0,26.89%,59.39% (k=5),,,,−0.82pp vs benign VFL,N/A (no MC),400,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR100,100,30,,active+defense,1.0,0.10,8,0,29.23%,62.83% (k=5),,,,+1.52pp vs benign VFL,N/A (no MC),400,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR100,100,30,,active+defense,2.0,0.10,8,0,29.27%,61.02% (k=5),,,,+1.56pp vs benign VFL,N/A (no MC),400,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR100,100,30,,active+defense,1.0,0.05,8,0,26.09%,58.19% (k=5),,,,−1.62pp vs benign VFL,N/A (no MC),400,30ep VFL only
Phase 3b Ablation (30ep VFL only),EXP-010,CIFAR100,100,30,,active+defense,1.0,0.15,8,0,25.69%,57.13% (k=5),,,,−2.02pp vs benign VFL,N/A (no MC),400,30ep VFL only
