phase,exp_id,dataset,num_classes,stage1_epochs,stage2_epochs,condition,attack_type,defense_name,defense_alpha,defense_tau,defense_burn_in,defense_variant,manual_seed,stage1_train_top1,stage1_test_top1,stage1_test_top5,mc_best_train_top1,mc_final_test_top1,mc_vs_benign_mean_pp,mc_vs_attack_pp,vfl_utility_cost_pp,n_labeled,notes
Phase 1 Characterization,EXP-006,CIFAR100,100,30,25,benign,none,none,,,,,0,,27.71%,58.13%,29.90%,18.68%,baseline,,,400,30ep characterization; mc_best from EXP-005 (150ep training)
Phase 1 Characterization,EXP-006,CIFAR100,100,30,25,active_party_a,MaliciousSGD,none,,,,,0,29.32%*,26.18%*,56.55%*,43.35%,22.38%,+13.45pp,,400,*30ep checkpoint. mc from EXP-005 (150ep training). +13.45pp over passive.
Phase 1 Characterization,EXP-006,CIFAR100,100,30,25,active_all_parties,MaliciousSGD-all,none,,,,,0,,24.81%,57.46%,36.64%,20.50%,+6.74pp,,400,All parties malicious
Phase 2 Defense (30ep),EXP-008,CIFAR100,100,30,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,31.60%,29.23%,62.83%,21.35%,17.96%,−8.21pp vs seed-0 benign (30ep),-22.00pp (confounded),-,400,CONFOUNDED — 30ep defended vs 150ep attack (EXP-005). Defense statistically null (+1.09pp vs 20.26% fair baseline).
Phase 2 Defense (30ep),EXP-008,CIFAR100,100,30,25,benign+defense,none,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,27.54%,26.05%,58.38%,11.27%,10.12%,,,,400,Defense dormant — divergence goes negative after burn-in for CIFAR100 benign
Phase 2b Baselines (30ep),EXP-009,CIFAR100,100,30,25,benign,none,none,,,,,0,,27.71%,,12.76%,11.25%,baseline,,400,30ep fair baseline
Phase 2b Baselines (30ep),EXP-009,CIFAR100,100,30,25,active_party_a,MaliciousSGD,none,,,,,0,29.32%,26.18%,,20.26%,16.60%,+7.50pp vs 30ep benign,,400,Attack WORKS at 30ep for CIFAR100 (+7.50pp vs benign 12.76%); unlike CIFAR-10
Phase 5 Three-Way (150ep),EXP-012,CIFAR100,100,150,25,benign,none,none,,,,,0,99.97%,45.33%,73.44%,30.33%,17.36%,baseline,baseline,,400,PRIMARY RESULT seed-0; benign ref for all CIFAR-100 seed-0 comparisons
Phase 5 Three-Way (150ep),EXP-012,CIFAR100,100,150,25,active_party_a,MaliciousSGD,none,,,,,0,99.98%,44.81%,72.07%,47.86%,25.88%,+17.53pp,baseline,-0.52pp vs benign VFL,400,PRIMARY RESULT — attack fully converged at 150ep; +17.53pp advantage
Phase 5 Three-Way (150ep),EXP-012,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,99.98%,45.20%,72.87%,43.12%,23.40%,+13.56pp vs mean benign,-4.74pp,-0.13pp,400,Defense insufficient — 13.56pp above mean benign ❌; only 27% attack advantage eliminated
Phase 6A Stronger Defense (150ep),EXP-013,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,2.0,0.10,8,,0,,45.93%,73.94%,48.31%,,+18.75pp vs mean benign,+0.45pp (ABOVE attack),,400,Stronger alpha COUNTERPRODUCTIVE — MC above undefended attack ❌❌
Phase 6A Stronger Defense (150ep),EXP-013,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,2.0,0.05,8,,0,,45.47%,73.02%,43.60%,,+14.04pp vs mean benign,-4.26pp,,400,Slightly worse than a=1.0 at same effect level ❌
Phase 7 Competitor MC (30ep),EXP-014,CIFAR100,100,30,25,active+gc,MaliciousSGD+GC,GradientCompression_75pct,,,,,0,,31.74%,,21.74%,,,400,30ep checkpoint; competitor attack comparison only
Phase 7 Competitor MC (30ep),EXP-014,CIFAR100,100,30,25,active+laplace,MaliciousSGD+Laplace,LaplaceDP_scale0.001,,,,,0,,2.87%,,3.55%,,,400,Laplace attack near-random (collapsed VFL); 30ep checkpoint
Phase 7 Competitor MC (30ep),EXP-014,CIFAR100,100,30,25,benign+laplace_dp,none,LaplaceDP_scale0.001,,,,,0,,2.87%,,15.78%,,,400,Laplace DP defense — below benign BUT VFL collapsed to 2.87% (catastrophic utility cost)
Phase 11b Asymmetry Check (150ep),EXP-018,CIFAR100,100,150,25,benign+defense,none,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,,,,34.74%,20.06%,+5.18pp vs seed-0 benign,,0pp (defense dormant),400,Defense dormant — divergence negative for CIFAR100 benign. +4.41pp gap is run variance (within 2σ range).
Phase 9 Noise Injection (150ep),EXP-019,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation+GradNoise,1.0,0.10,8,n=0.5,0,,,,48.36%,,+18.80pp vs mean benign,+0.50pp (ABOVE attack),,400,Gradient noise injection FAILED — worse than attack ❌❌
Phase 9 Noise Injection (150ep),EXP-019,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation+GradNoise,1.0,0.10,8,n=1.0,0,,,,49.64%,,+20.08pp vs mean benign,+1.78pp (ABOVE attack),,400,Worst pre-Phase18 result ❌❌❌
Phase 9 Noise Injection (150ep),EXP-019,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation+GradNoise,1.0,0.10,8,n=2.0,0,,,,43.10%,,+13.54pp vs mean benign,-4.76pp,,400,Essentially same as no-noise (43.12%); negligible improvement ⚠️
Phase 14A z_a Corruption (150ep),EXP-024,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation+zaNoise,1.0,0.10,8,za=0.5,0,,,,50.67%,,+21.11pp vs mean benign,+2.81pp (ABOVE attack),,400,Embedding corruption FAILED — ABOVE undefended attack ❌❌
Phase 14B z_a Corruption (150ep),EXP-025,CIFAR100,100,150,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation+zaNoise,1.0,0.10,8,za=1.0,0,,,,51.64%,,+22.08pp vs mean benign,+3.78pp (ABOVE attack),,400,Worst result in project ❌❌❌
Phase 16 Benign Multi-Seed (150ep),EXP-029,CIFAR100,100,150,25,benign,none,none,,,,,0,99.97%,45.33%,73.44%,30.33%,17.36%,baseline,baseline,,400,Seed-0 reference
Phase 16 Benign Multi-Seed (150ep),EXP-029,CIFAR100,100,150,25,benign,none,none,,,,,42,,44.83%,72.87%,26.19%,15.84%,baseline,baseline,,400,Benign seed-42
Phase 16 Benign Multi-Seed (150ep),EXP-029,CIFAR100,100,150,25,benign,none,none,,,,,123,,44.31%,72.17%,28.56%,18.19%,baseline,baseline,,400,Benign seed-123
Phase 16 Benign Multi-Seed (150ep),EXP-029,CIFAR100,100,150,25,benign,none,none,,,,,456,,44.12%,72.22%,33.14%,17.90%,baseline,baseline,,400,Benign seed-456
Phase 16 Benign Multi-Seed (150ep),EXP-029,CIFAR100,100,150,25,MEAN_4seeds_benign,none,none,,,,,,44.65%±0.47%,,29.56%±2.93%,,ANCHORED BENIGN REF,,,400,4-seed anchored benign baseline. Range [26.19%–33.14%]. VFL very stable (±0.47pp).
Phase 18 Adv Aux (150ep),EXP-031,CIFAR100,100,150,25,active+defense,MaliciousSGD,AdversarialAuxiliary,,,8,lambda=0.5,0,,,(1.00% VFL — NaN),1.001%,NaN loss,,NaN collapse,,400,🔴 Stage 1 NaN collapse — model destroyed. MC ran but NaN loss all 25 epochs.
Phase 18 Adv Aux (150ep),EXP-031,CIFAR100,100,150,25,active+defense,MaliciousSGD,AdversarialAuxiliary,,,8,lambda=1.0,0,,,CRASHED — no ckpt,,,,,,400,🔴 Stage 1 crash before saving checkpoint. MC aborted.
Phase 18 Adv Aux (150ep),EXP-031,CIFAR100,100,150,25,active+defense,MaliciousSGD,AdversarialAuxiliary,,,8,lambda=2.0,0,,,CRASHED — no ckpt,,,,,,400,🔴 Stage 1 crash before saving checkpoint. MC aborted.
Phase 19 Grad Proj (150ep),EXP-032,CIFAR100,100,150,25,active+defense,MaliciousSGD,GradientProjection,,0.10,8,,0,99.97%,45.32%,73.35%,26.97%,17.41%,-2.59pp below mean benign ✅,-20.89pp,-0.01pp (best ever),400,FIRST CIFAR-100 SUCCESS ✅ Single seed only — multi-seed (Phase 20) pending
Phase 20 Grad Proj Multi-Seed (150ep),EXP-033,CIFAR100,100,150,25,active+defense,MaliciousSGD,GradientProjection,,0.10,8,,42,,,,,,< 26.19% target,,,400,🟡 RUNNING — Phase 20 sequential bat; result pending
Phase 20 Grad Proj Multi-Seed (150ep),EXP-034,CIFAR100,100,150,25,active+defense,MaliciousSGD,GradientProjection,,0.10,8,,123,,,,,,< 28.56% target,,,400,🟡 RUNNING — result pending
Phase 20 Grad Proj Multi-Seed (150ep),EXP-035,CIFAR100,100,150,25,active+defense,MaliciousSGD,GradientProjection,,0.10,8,,456,,,,,,< 33.14% target,,,400,🟡 RUNNING — result pending
Phase 21 Attack Multi-Seed (150ep),EXP-036,CIFAR100,100,150,25,active_party_a,MaliciousSGD,none,,,,,42,,,,,,vs 26.19% benign ref,,,400,🟡 RUNNING — Phase 21 sequential bat; result pending
Phase 21 Attack Multi-Seed (150ep),EXP-037,CIFAR100,100,150,25,active_party_a,MaliciousSGD,none,,,,,123,,,,,,vs 28.56% benign ref,,,400,🟡 RUNNING — result pending
Phase 21 Attack Multi-Seed (150ep),EXP-038,CIFAR100,100,150,25,active_party_a,MaliciousSGD,none,,,,,456,,,,,,vs 33.14% benign ref,,,400,🟡 RUNNING — result pending
